"","V1"
"638",66
"639",49
"640",26
"641",24
"642",530
"643",101
"644",164
"645",102
"646",59
"647",121
"648",39
"649",58
"650",192
"651",115
"652",30
"653",55
"654",86
"655",58
"656",108
"657",98
"658",158
"659",48
"660",28
"661",41
"662",27
"663",47
"664",112
"665",150
"666",16
"667",37
"668",24
"669",121
"670",228
"671",359
"672",36
"673",97
"674",71
"675",90
"676",26
"677",72
"678",10
"679",98
"680",67
"681",77
"682",13
"683",38
"684",30
"685",54
"686",425
"687",48
"688",429
"689",11
"690",50
"691",25
"692",58
"693",89
"694",95
"695",166
"696",128
"697",109
"698",95
"699",68
"700",359
"701",38
"702",19
"703",34
"704",218
"705",369
"706",30
"707",23
"708",9
"709",110
"710",23
"711",17
"712",44
"713",99
"714",18
"715",20
"716",367
"717",35
"718",91
"719",31
"720",155
"721",55
"722",24
"723",94
"724",158
"725",30
"726",121
"727",49
"728",99
"729",68
"730",94
"731",14
"732",134
"733",25
"734",24
"735",43
"736",96
"737",34
"738",78
"739",36
"740",44
"741",242
"742",87
"743",35
"744",102
"745",271
"746",90
"747",114
"748",145
"749",19
"750",124
"751",35
"752",28
"753",327
"754",501
"755",60
"756",34
"757",212
"758",28
"759",27
"760",21
"761",348
"762",60
"763",18
"764",58
"765",21
"766",69
"767",101
"768",94
"769",107
"770",77
"771",12
"772",57
"773",148
"774",30
"775",50
"776",28
"777",45
"778",131
"779",33
"780",40
"781",163
"782",118
"783",48
"784",109
"785",12
"786",69
"787",159
"788",73
"789",40
"790",53
"791",74
"792",39
"793",864
"794",48
"795",41
"796",52
"797",285
"798",335
"799",21
"800",61
"801",35
"802",82
"803",67
"804",15
"805",59
"806",21
"807",65
"808",84
"809",13
"810",223
"811",24
"812",161
"813",82
"814",184
"815",32
"816",342
"817",349
"818",19
"819",24
"820",83
"821",67
"822",24
"823",81
"824",42
"825",44
"826",186
"827",144
"828",43
"829",254
"830",244
"831",20
"832",632
"833",76
"834",134
"835",165
"836",75
"837",44
"838",36
"839",227
"840",85
"841",55
"842",34
"843",108
"844",13
"845",87
"846",41
"847",48
"848",45
"849",88
"850",63
"851",43
"852",42
"853",26
"854",136
"855",137
"856",45
"857",38
"858",91
"859",25
"860",35
"861",44
"862",406
"863",101
"864",146
"865",22
"866",37
"867",34
"868",531
"869",16
"870",32
"871",12
"872",16
"873",59
"874",56
"875",43
"876",46
"877",379
"878",56
"879",103
"880",41
"881",87
"882",59
"883",26
"884",1132
"885",335
"886",18
"887",33
"888",39
"889",46
"890",41
"891",365
"892",210
"893",93
"894",48
"895",41
"896",744
"897",46
"898",758
"899",482
"900",187
"901",16
"902",263
"903",61
"904",900
"905",24
"906",15
"907",21
"908",17
"909",280
"910",53
"911",674
"912",96
"913",136
"914",343
"915",108
"916",263
"917",26
"918",388
"919",55
"920",44
"921",17
"922",85
"923",26
"924",209
"925",478
"926",55
"927",498
"928",18
"929",54
"930",58
"931",29
"932",313
"933",66
"934",68
"935",12
"936",318
"937",71
"938",226
"939",58
"940",8
"941",148
"942",386
"943",20
"944",320
"945",89
