X,Y,LAYER,GM_LAYER,Shape_Leng,Shape_Area,OID2,id
-6.3714641954128,33.5264609796218,Unknown Area Type,Unknown Area Type,20000,25000000,1310737,1310737
23.4812365790233,-22.2888770552697,Unknown Area Type,Unknown Area Type,20000,25000000,91853,91853
30.1665143310825,1.77027707489149,Unknown Area Type,Unknown Area Type,20000,25000000,435324,435324
-2.92771684973498,8.05265526669227,Unknown Area Type,Unknown Area Type,20000,25000000,617514,617514
29.2626918939524,19.5745257579183,Unknown Area Type,Unknown Area Type,20000,25000000,927104,927104
26.5597136580469,13.5768374813698,Unknown Area Type,Unknown Area Type,20000,25000000,754064,754064
20.5104859028546,-10.0142576235578,Unknown Area Type,Unknown Area Type,20000,25000000,261476,261476
-15.0796898503333,14.2327678031101,Unknown Area Type,Unknown Area Type,20000,25000000,907150,907150
10.8412010444831,9.26653035173432,Unknown Area Type,Unknown Area Type,20000,25000000,629646,629646
-8.59930928750957,11.6162788220119,Unknown Area Type,Unknown Area Type,20000,25000000,771890,771890
34.2010660333723,17.1997869432529,Unknown Area Type,Unknown Area Type,20000,25000000,863171,863171
11.4174684559423,27.3252656221479,Unknown Area Type,Unknown Area Type,20000,25000000,1151647,1151647
14.1682754384113,25.3884917655008,Unknown Area Type,Unknown Area Type,20000,25000000,1095754,1095754
7.82957350728824,10.8712331974798,Unknown Area Type,Unknown Area Type,20000,25000000,690537,690537
15.305603792285,-17.6373437548809,Unknown Area Type,Unknown Area Type,20000,25000000,148856,148856
7.05915098303473,10.0947728743503,Unknown Area Type,Unknown Area Type,20000,25000000,665330,665330
32.0874601313831,-21.5265344578471,Unknown Area Type,Unknown Area Type,20000,25000000,100958,100958
40.1363501077679,-15.1142532793854,Unknown Area Type,Unknown Area Type,20000,25000000,187866,187866
28.3293253402584,-15.8159694932605,Unknown Area Type,Unknown Area Type,20000,25000000,182848,182848
34.1825890603364,-20.1019352159284,Unknown Area Type,Unknown Area Type,20000,25000000,117857,117857
10.6388748201689,17.8861362863288,Unknown Area Type,Unknown Area Type,20000,25000000,898882,898882
32.0987324498827,23.1652263953453,Unknown Area Type,Unknown Area Type,20000,25000000,1026774,1026774
-1.47907122655976,26.0266578313863,Unknown Area Type,Unknown Area Type,20000,25000000,1172333,1172333
14.6142534601263,5.48710839020227,Unknown Area Type,Unknown Area Type,20000,25000000,508906,508906
30.9106738525056,11.1101308682904,Unknown Area Type,Unknown Area Type,20000,25000000,679315,679315
15.372966734463,25.0892770834096,Unknown Area Type,Unknown Area Type,20000,25000000,1085500,1085500
20.0616787439682,-13.4633887880005,Unknown Area Type,Unknown Area Type,20000,25000000,215651,215651
17.5831981250679,0.142528634176455,Unknown Area Type,Unknown Area Type,20000,25000000,407073,407073
12.383668536059,19.9222974459143,Unknown Area Type,Unknown Area Type,20000,25000000,953202,953202
25.9507964243628,-15.320333608476,Unknown Area Type,Unknown Area Type,20000,25000000,190268,190268
16.4088739404176,14.3769137644485,Unknown Area Type,Unknown Area Type,20000,25000000,784387,784387
-11.2019728434568,27.8420937216846,Unknown Area Type,Unknown Area Type,20000,25000000,1265647,1265647
2.70977687606779,15.9918259689352,Unknown Area Type,Unknown Area Type,20000,25000000,866393,866393
16.0655817954224,18.0995877089921,Unknown Area Type,Unknown Area Type,20000,25000000,893881,893881
-13.7183710543459,20.2892934082959,Unknown Area Type,Unknown Area Type,20000,25000000,1097378,1097378
5.0218489322194,17.0640180183977,Unknown Area Type,Unknown Area Type,20000,25000000,891072,891072
27.0692756229908,-17.1760252626053,Unknown Area Type,Unknown Area Type,20000,25000000,161596,161596
27.1612257536345,14.571783697715,Unknown Area Type,Unknown Area Type,20000,25000000,783301,783301
29.6474177655352,19.7950255952617,Unknown Area Type,Unknown Area Type,20000,25000000,933405,933405
-8.36274226431374,5.0221588373727,Unknown Area Type,Unknown Area Type,20000,25000000,521975,521975
-14.3740866396106,14.3141564514139,Unknown Area Type,Unknown Area Type,20000,25000000,904630,904630
13.6062585869357,-14.8340700582534,Unknown Area Type,Unknown Area Type,20000,25000000,191355,191355
21.6769911759645,18.4743900307399,Unknown Area Type,Unknown Area Type,20000,25000000,897843,897843
13.063382569535,27.6366511780203,Unknown Area Type,Unknown Area Type,20000,25000000,1155022,1155022
15.1963841503906,-1.14252050421114,Unknown Area Type,Unknown Area Type,20000,25000000,385193,385193
7.65247777470428,12.1454406053804,Unknown Area Type,Unknown Area Type,20000,25000000,732189,732189
38.7693476515613,-2.82534042349527,Unknown Area Type,Unknown Area Type,20000,25000000,358444,358444
26.129928623467,16.9657407902307,Unknown Area Type,Unknown Area Type,20000,25000000,852567,852567
34.244657297738,-20.4137290758131,Unknown Area Type,Unknown Area Type,20000,25000000,113909,113909
37.994582181627,11.1570817743879,Unknown Area Type,Unknown Area Type,20000,25000000,686821,686821
22.7650383004177,14.0374001696075,Unknown Area Type,Unknown Area Type,20000,25000000,768638,768638
20.9545815278545,20.1622536367815,Unknown Area Type,Unknown Area Type,20000,25000000,945847,945847
28.3736430334143,-4.64914335292672,Unknown Area Type,Unknown Area Type,20000,25000000,332733,332733
32.753317763991,-6.33727650376524,Unknown Area Type,Unknown Area Type,20000,25000000,309915,309915
19.8032838093682,15.7631606504998,Unknown Area Type,Unknown Area Type,20000,25000000,821182,821182
-1.9785298720562,11.1179443568462,Unknown Area Type,Unknown Area Type,20000,25000000,726555,726555
-0.851754183377677,16.1033682904026,Unknown Area Type,Unknown Area Type,20000,25000000,884481,884481
12.4805632637053,6.44600021955579,Unknown Area Type,Unknown Area Type,20000,25000000,536207,536207
32.0268038242539,22.5369002690003,Unknown Area Type,Unknown Area Type,20000,25000000,1010125,1010125
28.6770310788863,-26.3364311757194,Unknown Area Type,Unknown Area Type,20000,25000000,47085,47085
21.3977000527621,21.0773092010897,Unknown Area Type,Unknown Area Type,20000,25000000,970798,970798
-0.605160888462314,9.96664793420003,Unknown Area Type,Unknown Area Type,20000,25000000,681545,681545
2.47817500429196,7.74935079330091,Unknown Area Type,Unknown Area Type,20000,25000000,593025,593025
21.9762457250858,-23.6906995898029,Unknown Area Type,Unknown Area Type,20000,25000000,74350,74350
22.3512187304048,-16.08580523698,Unknown Area Type,Unknown Area Type,20000,25000000,177885,177885
15.6751044315987,-12.5484050146135,Unknown Area Type,Unknown Area Type,20000,25000000,225953,225953
39.7027150300099,3.62674944593443,Unknown Area Type,Unknown Area Type,20000,25000000,470795,470795
-1.79122376675966,7.18708973695984,Unknown Area Type,Unknown Area Type,20000,25000000,582922,582922
48.9614444588723,-16.5822474820052,Unknown Area Type,Unknown Area Type,20000,25000000,152154,152154
13.1836269852088,0.184197828706561,Unknown Area Type,Unknown Area Type,20000,25000000,407730,407730
4.03713320248923,9.43017175733014,Unknown Area Type,Unknown Area Type,20000,25000000,648797,648797
13.5093615102736,31.0625377763692,Unknown Area Type,Unknown Area Type,20000,25000000,1233369,1233369
22.8008269576591,11.9181473341491,Unknown Area Type,Unknown Area Type,20000,25000000,705169,705169
16.0206037680949,2.98368730250757,Unknown Area Type,Unknown Area Type,20000,25000000,457748,457748
16.1515390732164,26.220597328671,Unknown Area Type,Unknown Area Type,20000,25000000,1112716,1112716
-2.53868484187738,32.4248268055476,Unknown Area Type,Unknown Area Type,20000,25000000,1289078,1289078
25.527082085756,7.19864476817664,Unknown Area Type,Unknown Area Type,20000,25000000,552676,552676
30.5648500373706,-20.3029480481913,Unknown Area Type,Unknown Area Type,20000,25000000,116647,116647
-5.66090195172541,12.1741741781579,Unknown Area Type,Unknown Area Type,20000,25000000,777274,777274
0.063150135878023,28.7265646765324,Unknown Area Type,Unknown Area Type,20000,25000000,1229835,1229835
36.7155656162206,-11.9876438561725,Unknown Area Type,Unknown Area Type,20000,25000000,234684,234684
28.4952212868297,-23.7651692590111,Unknown Area Type,Unknown Area Type,20000,25000000,74483,74483
-14.6695034026614,16.9959501638978,Unknown Area Type,Unknown Area Type,20000,25000000,1000585,1000585
32.3616118710043,-22.4185252938791,Unknown Area Type,Unknown Area Type,20000,25000000,89807,89807
18.9675196925074,25.6897065734411,Unknown Area Type,Unknown Area Type,20000,25000000,1094714,1094714
37.535494520785,3.03257693689407,Unknown Area Type,Unknown Area Type,20000,25000000,459055,459055
29.0965468589177,21.3828520173727,Unknown Area Type,Unknown Area Type,20000,25000000,977124,977124
44.4391213195308,10.3727316014346,Unknown Area Type,Unknown Area Type,20000,25000000,670674,670674
22.4216872050961,-28.6611013956997,Unknown Area Type,Unknown Area Type,20000,25000000,28208,28208
-2.75410862198757,11.5512147829275,Unknown Area Type,Unknown Area Type,20000,25000000,744047,744047
22.687018772006,6.14328667528801,Unknown Area Type,Unknown Area Type,20000,25000000,522586,522586
34.9148893283341,13.9448988954469,Unknown Area Type,Unknown Area Type,20000,25000000,768901,768901
22.5983535958147,29.3152877727935,Unknown Area Type,Unknown Area Type,20000,25000000,1180435,1180435
35.5276771402325,0.813877354927428,Unknown Area Type,Unknown Area Type,20000,25000000,418965,418965
30.8719070993155,7.63592741736443,Unknown Area Type,Unknown Area Type,20000,25000000,566720,566720
9.19740536142077,11.950813599587,Unknown Area Type,Unknown Area Type,20000,25000000,722749,722749
18.0996957407596,19.3691994295882,Unknown Area Type,Unknown Area Type,20000,25000000,926869,926869
24.4544557853334,22.0989052196868,Unknown Area Type,Unknown Area Type,20000,25000000,996623,996623
19.4865876847325,9.20262907736867,Unknown Area Type,Unknown Area Type,20000,25000000,618039,618039
9.67636398619594,4.11018352736927,Unknown Area Type,Unknown Area Type,20000,25000000,481260,481260
25.2238703250245,-1.12158908493683,Unknown Area Type,Unknown Area Type,20000,25000000,386165,386165
22.1703901523894,-8.14964464101393,Unknown Area Type,Unknown Area Type,20000,25000000,286008,286008
23.6009231999005,-19.133050869378,Unknown Area Type,Unknown Area Type,20000,25000000,131967,131967
15.6855672921247,4.88762184020985,Unknown Area Type,Unknown Area Type,20000,25000000,495086,495086
19.4231394155188,11.8026256668361,Unknown Area Type,Unknown Area Type,20000,25000000,703682,703682
20.0103700755637,-27.2993310272811,Unknown Area Type,Unknown Area Type,20000,25000000,37643,37643
27.5339551382605,-15.1413452289218,Unknown Area Type,Unknown Area Type,20000,25000000,193012,193012
4.41157649907131,18.3494827900479,Unknown Area Type,Unknown Area Type,20000,25000000,931603,931603
2.93014860228168,19.9269280818045,Unknown Area Type,Unknown Area Type,20000,25000000,983948,983948
19.4160663181114,5.38940810008069,Unknown Area Type,Unknown Area Type,20000,25000000,504927,504927
-11.8834921861955,17.860571084978,Unknown Area Type,Unknown Area Type,20000,25000000,1006729,1006729
-9.96695958471131,20.3738585407185,Unknown Area Type,Unknown Area Type,20000,25000000,1070036,1070036
10.6149885652509,13.8257992529412,Unknown Area Type,Unknown Area Type,20000,25000000,777664,777664
0.19836863959711,22.5919216766007,Unknown Area Type,Unknown Area Type,20000,25000000,1071433,1071433
33.3350169265253,22.5355725549941,Unknown Area Type,Unknown Area Type,20000,25000000,1011355,1011355
12.8967030206837,10.5860665711955,Unknown Area Type,Unknown Area Type,20000,25000000,671479,671479
25.6582907720432,-8.62840431545855,Unknown Area Type,Unknown Area Type,20000,25000000,280295,280295
11.2325064870997,11.8584056659159,Unknown Area Type,Unknown Area Type,20000,25000000,715985,715985
34.4724589562207,-3.44475744235521,Unknown Area Type,Unknown Area Type,20000,25000000,349590,349590
-2.93300707866856,7.61887850003129,Unknown Area Type,Unknown Area Type,20000,25000000,601503,601503
19.5740247680893,25.4974901710248,Unknown Area Type,Unknown Area Type,20000,25000000,1089015,1089015
15.0939647082995,27.3391761293603,Unknown Area Type,Unknown Area Type,20000,25000000,1142784,1142784
11.6106442523997,1.83984858305583,Unknown Area Type,Unknown Area Type,20000,25000000,437292,437292
14.9208210781416,28.4384911210464,Unknown Area Type,Unknown Area Type,20000,25000000,1170496,1170496
35.4889038506247,2.24557758160699,Unknown Area Type,Unknown Area Type,20000,25000000,444246,444246
46.5953182069746,-18.8123457376408,Unknown Area Type,Unknown Area Type,20000,25000000,122534,122534
13.2399829107398,9.85357492580282,Unknown Area Type,Unknown Area Type,20000,25000000,646020,646020
28.907450663246,25.087280539174,Unknown Area Type,Unknown Area Type,20000,25000000,1074331,1074331
20.3644607647542,14.118218321503,Unknown Area Type,Unknown Area Type,20000,25000000,772573,772573
22.0819446416456,1.90163915377599,Unknown Area Type,Unknown Area Type,20000,25000000,437529,437529
-4.00996272917502,20.3153792127465,Unknown Area Type,Unknown Area Type,20000,25000000,1029517,1029517
23.3115540243044,-17.0972202495609,Unknown Area Type,Unknown Area Type,20000,25000000,162232,162232
36.9523308535474,2.05802067798208,Unknown Area Type,Unknown Area Type,20000,25000000,441057,441057
3.88633536137551,34.109324685597,Unknown Area Type,Unknown Area Type,20000,25000000,1291404,1291404
-12.6228220431518,26.8514169223853,Unknown Area Type,Unknown Area Type,20000,25000000,1257923,1257923
0.263287120291344,32.5482704262235,Unknown Area Type,Unknown Area Type,20000,25000000,1283488,1283488
